player1,player1_race,player2,player2_race,map,game_type,ladder,file,game_version,region,game_length,winrace,loser,loser_race,winner_name
pompesfunèb,Terran,OKOKOK,Terran,Stargazers,1v1,True,Stargazers (10).SC2Replay,88500,us,0:06:08,Terran,OKOKOK,Terran,pompesfunèb
Baneful,Protoss,OKOKOK,Terran,Moondance,1v1,True,Moondance (13).SC2Replay,88500,us,0:10:23,Terran,Baneful,Protoss,OKOKOK
OKOKOK,Terran,seenoevil,Protoss,Waterfall,1v1,True,Waterfall (16).SC2Replay,88500,us,0:13:54,Protoss,OKOKOK,Terran,seenoevil
SkinMilk,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 13.SC2Replay,84643,us,0:10:37,Zerg,SkinMilk,Zerg,ViBE
ViBE,Zerg,Dooties,Terran,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 5.SC2Replay,84643,us,0:11:53,Terran,ViBE,Zerg,Dooties
OKOKOK,Zerg,BaiLLiE,Protoss,Stargazers,1v1,True,Stargazers (9).SC2Replay,88500,us,0:19:17,Protoss,OKOKOK,Zerg,BaiLLiE
OKOKOK,Zerg,timoncito,Terran,Stargazers,1v1,True,Stargazers (2).SC2Replay,88500,us,0:17:53,Terran,OKOKOK,Zerg,timoncito
OKOKOK,Zerg,Xellows,Terran,Stargazers,1v1,True,Stargazers (3).SC2Replay,88500,us,0:11:31,Terran,OKOKOK,Zerg,Xellows
majorbacon,Protoss,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 2 - ZvP - Game 8.SC2Replay,84643,us,0:06:02,Zerg,majorbacon,Protoss,ViBE
MuNuKuKu,Zerg,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (4).SC2Replay,88500,us,0:06:37,Zerg,OKOKOK,Zerg,MuNuKuKu
OKOKOK,Terran,darentkx,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (12).SC2Replay,88500,us,0:19:31,Protoss,OKOKOK,Terran,darentkx
Smite,Terran,OKOKOK,Zerg,Data-C,1v1,True,Data-C.SC2Replay,88500,us,0:12:50,Terran,OKOKOK,Zerg,Smite
ViBE,Zerg,Vex,Terran,Oxide LE,1v1,True,Diamond 1 - ZvT - Game 24.SC2Replay,84643,us,0:15:58,Zerg,Vex,Terran,ViBE
OKOKOK,Terran,demangelo,Terran,Waterfall,1v1,True,Waterfall (14).SC2Replay,88500,us,0:23:49,Terran,demangelo,Terran,OKOKOK
OKOKOK,Zerg,WeBringHavoc,Terran,Data-C,1v1,True,Data-C (4).SC2Replay,88500,us,0:18:32,Zerg,WeBringHavoc,Terran,OKOKOK
OKOKOK,Zerg,SegaGenesis,Protoss,Moondance,1v1,True,Moondance (11).SC2Replay,88500,us,0:06:21,Protoss,OKOKOK,Zerg,SegaGenesis
ViBE,Zerg,Yoko,Protoss,Blackburn LE,1v1,True,Diamond 2 - ZvP - Game 26.SC2Replay,84643,us,0:10:14,Zerg,Yoko,Protoss,ViBE
OKOKOK,Terran,Meridius,Protoss,Inside and Out,1v1,True,Inside and Out (10).SC2Replay,88500,us,0:27:10,None,,,None
ZurieL,Terran,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvT - Game 3.SC2Replay,84643,us,0:10:42,Zerg,ZurieL,Terran,ViBE
OKOKOK,Zerg,GivhertheD,Zerg,Moondance,1v1,True,Moondance (3).SC2Replay,88500,us,0:00:06,Zerg,GivhertheD,Zerg,OKOKOK
OKOKOK,Zerg,Hero,Protoss,Royal Blood LE,1v1,True,Royal Blood LE (2).SC2Replay,90136,us,0:06:46,Protoss,OKOKOK,Zerg,Hero
OKOKOK,Zerg,Ourion,Protoss,Babylon LE,1v1,True,Babylon LE.SC2Replay,90870,us,0:10:34,Zerg,Ourion,Protoss,OKOKOK
SuppliedWing,Terran,OKOKOK,Protoss,Moondance,1v1,True,Moondance (8).SC2Replay,88500,us,0:06:29,Terran,OKOKOK,Protoss,SuppliedWing
OKOKOK,Zerg,YodaEater,Zerg,Data-C,1v1,True,Data-C (2).SC2Replay,88500,us,0:08:46,Zerg,OKOKOK,Zerg,YodaEater
Khaaaaaannnn,Zerg,OKOKOK,Zerg,Blackburn LE,1v1,True,Blackburn LE.SC2Replay,87702,us,0:07:30,Zerg,Khaaaaaannnn,Zerg,OKOKOK
LHoldit,Protoss,OKOKOK,Zerg,Inside and Out,1v1,True,Inside and Out (2).SC2Replay,88500,us,0:06:26,Protoss,OKOKOK,Zerg,LHoldit
