player1,player1_race,player2,player2_race,map,game_type,ladder,file,game_version,region,game_length,winrace,loser,loser_race,winner_name
ViBE,Zerg,Chiewy,Protoss,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvP - Game 15.SC2Replay,84643,us,0:06:21,Protoss,ViBE,Zerg,Chiewy
Yengling,Protoss,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 3 - ZvP - Game 2.SC2Replay,84643,us,0:14:25,Zerg,Yengling,Protoss,ViBE
OKOKOK,Zerg,AiuR,Zerg,Inside and Out,1v1,True,Inside and Out (5).SC2Replay,88500,us,0:06:23,Zerg,AiuR,Zerg,OKOKOK
EACTurco,Terran,OKOKOK,Terran,Waterfall,1v1,True,Waterfall (6).SC2Replay,88500,us,0:12:39,Terran,EACTurco,Terran,OKOKOK
OKOKOK,Zerg,Doraste,Protoss,Glittering Ashes LE,1v1,False,Glittering Ashes LE (2).SC2Replay,86383,us,0:15:09,Zerg,Doraste,Protoss,OKOKOK
OKOKOK,Terran,BasicMath,Zerg,Data-C,1v1,True,Data-C (8).SC2Replay,88500,us,0:06:27,Terran,BasicMath,Zerg,OKOKOK
Mat,Zerg,ViBE,Zerg,Beckett Industries LE,1v1,True,Diamond 3 - ZvZ - Game 1.SC2Replay,84643,us,0:12:25,Zerg,Mat,Zerg,ViBE
Magnifico,Terran,OKOKOK,Terran,Cosmic Sapphire,1v1,True,Cosmic Sapphire (4).SC2Replay,88500,us,0:13:22,Terran,OKOKOK,Terran,Magnifico
Geburah,Terran,OKOKOK,Protoss,Tropical Sacrifice,1v1,True,Tropical Sacrifice (3).SC2Replay,88500,us,0:04:43,Terran,OKOKOK,Protoss,Geburah
Goose,Protoss,OKOKOK,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (6).SC2Replay,88500,us,0:06:39,Zerg,Goose,Protoss,OKOKOK
GuRuDeEp,Zerg,OKOKOK,Terran,Moondance,1v1,True,Moondance (4).SC2Replay,88500,us,0:14:18,Terran,GuRuDeEp,Zerg,OKOKOK
Papezinhoo,Zerg,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 1 - ZvZ - Game 3.SC2Replay,84643,us,0:05:01,Zerg,Papezinhoo,Zerg,ViBE
OKOKOK,Zerg,Sumek,Zerg,Tropical Sacrifice,1v1,True,Tropical Sacrifice (8).SC2Replay,88500,us,0:08:00,Zerg,Sumek,Zerg,OKOKOK
OKOKOK,Zerg,fixy,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (10).SC2Replay,88500,us,0:08:26,Zerg,fixy,Protoss,OKOKOK
Pipo,Terran,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (9).SC2Replay,88500,us,0:07:24,Zerg,Pipo,Terran,OKOKOK
jordoexotic,Protoss,OKOKOK,Terran,Cosmic Sapphire,1v1,True,Cosmic Sapphire (7).SC2Replay,88500,us,0:13:40,Terran,jordoexotic,Protoss,OKOKOK
